,fl_date,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,dest_airport_id,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,share_code,origin_city,origin_state,dest_city,dest_state,arr_date,dep_datetime,arr_datetime,fl_month,fl_weekday,season,day_num_of_flights,num_flights_6hr,inbound_fl_num,inbound_fl,dep_min_of_day,arr_min_of_day,dep_hr,arr_hr,hr,weather
7361,2019-12-01,OO,N805SK,3931,11775,13487,15:15:00,1539.0,24.0,29.0,1608.0,1657.0,5.0,16:29:00,1702.0,33.0,0.0,not cancelled,0.0,74.0,83.0,49.0,196.0,0.0,0.0,9.0,0.0,24.0,no first departure,0.0,0.0,1,Sioux Falls, SD,Minneapolis, MN,2019-12-01,2019-12-01 15:15:00,2019-12-01 16:29:00,12,6,1,1,2,1,1,915,989,15,16,5,Blowing snow
2300,2019-06-10,NK,N634NK,899,11433,13204,16:50:00,1818.0,88.0,20.0,1838.0,2050.0,7.0,19:27:00,2057.0,90.0,0.0,not cancelled,0.0,157.0,159.0,132.0,957.0,11.0,0.0,2.0,0.0,77.0,no first departure,0.0,0.0,0,Detroit, MI,Orlando, FL,2019-06-10,2019-06-10 16:50:00,2019-06-10 19:27:00,6,0,3,1,1,0,0,1010,1167,16,19,5,Partly cloudy
913,2018-08-20,EV,N13978,4004,11278,11042,07:05:00,700.0,-5.0,18.0,718.0,809.0,6.0,08:29:00,815.0,-14.0,0.0,not cancelled,0.0,84.0,75.0,51.0,310.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,1,Washington, DC,Cleveland, OH,2018-08-20,2018-08-20 07:05:00,2018-08-20 08:29:00,8,0,3,1,1,0,0,425,509,7,8,2,Light rain shower
13334,2019-04-11,EV,N17108,4153,12266,10781,18:05:00,1800.0,-5.0,8.0,1808.0,1848.0,3.0,19:12:00,1851.0,-21.0,0.0,not cancelled,0.0,67.0,51.0,40.0,253.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,1,Houston, TX,Baton Rouge, LA,2019-04-11,2019-04-11 18:05:00,2019-04-11 19:12:00,4,3,2,8,8,0,0,1085,1152,18,19,6,Patchy rain possible
11140,2018-04-16,UA,N37420,324,12889,11292,16:00:00,1710.0,70.0,11.0,1721.0,1935.0,5.0,18:56:00,1940.0,44.0,0.0,not cancelled,0.0,116.0,90.0,74.0,628.0,44.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,0,Las Vegas, NV,Denver, CO,2018-04-16,2018-04-16 16:00:00,2018-04-16 18:56:00,4,0,2,2,2,0,0,960,1136,16,18,5,Sunny
10836,2018-09-30,WN,N754SW,6012,14869,13232,16:45:00,1642.0,-3.0,10.0,1652.0,2018.0,3.0,20:45:00,2021.0,-24.0,0.0,not cancelled,0.0,180.0,159.0,146.0,1259.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,0,Salt Lake City, UT,Chicago, IL,2018-09-30,2018-09-30 16:45:00,2018-09-30 20:45:00,9,6,4,14,8,0,0,1005,1245,16,20,5,Sunny
9712,2018-02-03,OO,N107SY,5880,14524,11292,15:55:00,1603.0,8.0,12.0,1615.0,1808.0,4.0,18:19:00,1812.0,-7.0,0.0,not cancelled,0.0,264.0,249.0,233.0,1482.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,1,Richmond, VA,Denver, CO,2018-02-03,2018-02-03 15:55:00,2018-02-03 18:19:00,2,5,1,1,1,0,0,955,1099,15,18,5,Sunny
11542,2018-04-27,DL,N389DA,1220,12892,14492,22:10:00,2206.0,-4.0,8.0,2214.0,534.0,4.0,05:55:00,538.0,-17.0,0.0,not cancelled,0.0,285.0,272.0,260.0,2239.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,0,Los Angeles, CA,Raleigh/Durham, NC,2018-04-28,2018-04-27 22:10:00,2018-04-28 05:55:00,4,4,2,3,3,0,0,1330,355,22,5,7,Clear
5036,2018-06-21,UA,N818UA,2403,14524,11292,08:20:00,815.0,-5.0,10.0,825.0,952.0,5.0,10:18:00,957.0,-21.0,0.0,not cancelled,0.0,238.0,222.0,207.0,1482.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,0,Richmond, VA,Denver, CO,2018-06-21,2018-06-21 08:20:00,2018-06-21 10:18:00,6,3,3,1,1,0,0,500,618,8,10,2,Sunny
3805,2019-08-08,YV,N243LR,5746,14107,11540,15:32:00,1524.0,-8.0,11.0,1535.0,1727.0,2.0,17:47:00,1729.0,-18.0,0.0,not cancelled,0.0,75.0,65.0,52.0,347.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,1,Phoenix, AZ,El Paso, TX,2019-08-08,2019-08-08 15:32:00,2019-08-08 17:47:00,8,3,3,6,5,0,0,932,1067,15,17,5,Sunny
5757,2019-11-17,AA,N145AN,383,14771,13303,13:08:00,1307.0,-1.0,30.0,1337.0,2126.0,11.0,21:32:00,2137.0,5.0,0.0,not cancelled,0.0,324.0,330.0,289.0,2585.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,0,San Francisco, CA,Miami, FL,2019-11-17,2019-11-17 13:08:00,2019-11-17 21:32:00,11,6,4,1,2,1,1,788,1292,13,21,4,Sunny
8086,2019-09-04,EM,N801HC,649,12492,12173,13:24:00,1319.0,-5.0,4.0,1323.0,1350.0,2.0,13:59:00,1352.0,-7.0,0.0,not cancelled,0.0,35.0,33.0,27.0,84.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,1,Kapalua, HI,Honolulu, HI,2019-09-04,2019-09-04 13:24:00,2019-09-04 13:59:00,9,2,4,4,4,2,1,804,839,13,13,4,Patchy rain possible
15031,2019-07-26,C5,N14162,4910,12264,10994,17:15:00,1709.0,-6.0,41.0,1750.0,1912.0,6.0,19:05:00,1918.0,13.0,0.0,not cancelled,0.0,110.0,129.0,82.0,441.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,1,Washington, DC,Charleston, SC,2019-07-26,2019-07-26 17:15:00,2019-07-26 19:05:00,7,4,3,7,3,0,0,1035,1145,17,19,5,Partly cloudy
9965,2018-02-17,B6,N794JB,1907,10721,10693,17:05:00,1813.0,68.0,20.0,1833.0,2018.0,8.0,19:07:00,2026.0,79.0,0.0,not cancelled,0.0,182.0,193.0,165.0,942.0,68.0,0.0,11.0,0.0,0.0,no first departure,0.0,0.0,0,Boston, MA,Nashville, TN,2018-02-17,2018-02-17 17:05:00,2018-02-17 19:07:00,2,5,1,6,3,0,0,1025,1147,17,19,5,Partly cloudy
3494,2018-03-25,WN,N8529Z,3277,14635,13232,09:00:00,854.0,-6.0,8.0,902.0,1041.0,4.0,10:55:00,1045.0,-10.0,0.0,not cancelled,0.0,175.0,171.0,159.0,1105.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,0,Fort Myers, FL,Chicago, IL,2018-03-25,2018-03-25 09:00:00,2018-03-25 10:55:00,3,6,2,29,16,0,0,540,655,9,10,3,Sunny
11548,2018-04-27,DL,N682DA,1225,12451,10397,05:30:00,526.0,-4.0,12.0,538.0,621.0,4.0,06:42:00,625.0,-17.0,0.0,not cancelled,0.0,72.0,59.0,43.0,270.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,0,Jacksonville, FL,Atlanta, GA,2018-04-27,2018-04-27 05:30:00,2018-04-27 06:42:00,4,4,2,1,1,0,0,330,402,5,6,1,Clear
5254,2018-06-27,B6,N962JB,278,14771,11697,23:04:00,2304.0,0.0,25.0,2329.0,734.0,5.0,07:45:00,739.0,-6.0,0.0,not cancelled,0.0,341.0,335.0,305.0,2584.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,0,San Francisco, CA,Fort Lauderdale, FL,2018-06-28,2018-06-27 23:04:00,2018-06-28 07:45:00,6,2,3,1,2,1,1,1384,465,23,7,7,Clear
8994,2019-01-22,WN,N7811F,544,10693,10397,05:40:00,538.0,-2.0,8.0,546.0,724.0,7.0,07:50:00,731.0,-19.0,0.0,not cancelled,0.0,70.0,53.0,38.0,214.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,0,Nashville, TN,Atlanta, GA,2019-01-22,2019-01-22 05:40:00,2019-01-22 07:50:00,1,1,1,1,1,0,0,340,470,5,7,1,Clear
388,2018-01-18,DL,N937AT,1711,11057,13487,08:15:00,1015.0,120.0,31.0,1046.0,1202.0,3.0,10:20:00,1205.0,105.0,0.0,not cancelled,0.0,185.0,170.0,136.0,930.0,105.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,0,Charlotte, NC,Minneapolis, MN,2018-01-18,2018-01-18 08:15:00,2018-01-18 10:20:00,1,3,1,2,1,0,0,495,620,8,10,2,Sunny
3599,2018-03-31,WN,N221WN,3614,12889,13851,20:30:00,2030.0,0.0,11.0,2041.0,33.0,2.0,00:50:00,35.0,-15.0,0.0,not cancelled,0.0,140.0,125.0,112.0,986.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,0,Las Vegas, NV,Oklahoma City, OK,2018-04-01,2018-03-31 20:30:00,2018-04-01 00:50:00,3,5,2,30,10,0,0,1230,50,20,0,6,Overcast
4583,2019-02-27,YV,N86334,6237,12266,10397,19:55:00,1952.0,-3.0,40.0,2032.0,2302.0,5.0,22:56:00,2307.0,11.0,0.0,not cancelled,0.0,121.0,135.0,90.0,689.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,1,Houston, TX,Atlanta, GA,2019-02-27,2019-02-27 19:55:00,2019-02-27 22:56:00,2,2,1,8,12,0,0,1195,1376,19,22,6,Cloudy
13099,2019-05-30,WN,N7874B,354,11259,10279,09:40:00,937.0,-3.0,8.0,945.0,1034.0,3.0,10:55:00,1037.0,-18.0,0.0,not cancelled,0.0,75.0,60.0,49.0,323.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,0,Dallas, TX,Amarillo, TX,2019-05-30,2019-05-30 09:40:00,2019-05-30 10:55:00,5,3,2,15,4,0,0,580,655,9,10,3,Sunny
13366,2019-04-12,OO,N459SW,3657,11775,13487,10:52:00,1103.0,11.0,50.0,1153.0,1231.0,7.0,12:01:00,1238.0,37.0,0.0,not cancelled,0.0,69.0,95.0,38.0,196.0,0.0,0.0,26.0,0.0,11.0,no first departure,0.0,0.0,1,Sioux Falls, SD,Minneapolis, MN,2019-04-12,2019-04-12 10:52:00,2019-04-12 12:01:00,4,4,2,1,2,1,1,652,721,10,12,3,Heavy snow
616,2018-08-02,9E,N294PQ,3431,11433,14122,14:01:00,1505.0,64.0,14.0,1519.0,1600.0,8.0,15:09:00,1608.0,59.0,0.0,not cancelled,0.0,68.0,63.0,41.0,201.0,0.0,0.0,0.0,0.0,59.0,no first departure,0.0,0.0,1,Detroit, MI,Pittsburgh, PA,2018-08-02,2018-08-02 14:01:00,2018-08-02 15:09:00,8,3,3,4,2,0,0,841,909,14,15,4,Sunny
6564,2018-12-31,CP,N205NN,6055,10140,12892,13:27:00,1321.0,-6.0,11.0,1332.0,1422.0,5.0,14:35:00,1427.0,-8.0,0.0,not cancelled,0.0,128.0,126.0,110.0,677.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,1,Albuquerque, NM,Los Angeles, CA,2018-12-31,2018-12-31 13:27:00,2018-12-31 14:35:00,12,0,1,2,3,1,1,807,875,13,14,4,Partly cloudy
8799,2019-01-20,DL,N949DL,1942,13244,10397,08:00:00,753.0,-7.0,14.0,807.0,1002.0,5.0,10:19:00,1007.0,-12.0,0.0,not cancelled,0.0,79.0,74.0,55.0,332.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,0,Memphis, TN,Atlanta, GA,2019-01-20,2019-01-20 08:00:00,2019-01-20 10:19:00,1,6,1,2,2,0,0,480,619,8,10,2,Sunny
4321,2019-02-17,AA,N976AN,2409,13930,15304,19:15:00,2030.0,75.0,29.0,2059.0,16.0,5.0,22:49:00,21.0,92.0,0.0,not cancelled,0.0,154.0,171.0,137.0,1011.0,0.0,46.0,17.0,0.0,29.0,no first departure,0.0,0.0,0,Chicago, IL,Tampa, FL,2019-02-17,2019-02-17 19:15:00,2019-02-17 22:49:00,2,6,1,3,5,0,0,1155,1369,19,22,6,Heavy snow
10454,2018-09-19,WN,N8549Z,328,10397,13495,20:00:00,1956.0,-4.0,10.0,2006.0,2006.0,3.0,20:25:00,2009.0,-16.0,0.0,not cancelled,0.0,85.0,73.0,60.0,425.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,0,Atlanta, GA,New Orleans, LA,2018-09-19,2018-09-19 20:00:00,2018-09-19 20:25:00,9,2,4,30,10,0,0,1200,1225,20,20,6,Clear
8378,2019-09-14,AA,N562UW,565,11057,14635,09:20:00,915.0,-5.0,17.0,932.0,1058.0,4.0,11:13:00,1102.0,-11.0,0.0,not cancelled,0.0,113.0,107.0,86.0,600.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,0,Charlotte, NC,Fort Myers, FL,2019-09-14,2019-09-14 09:20:00,2019-09-14 11:13:00,9,5,4,3,6,1,1,560,673,9,11,3,Partly cloudy
9198,2018-05-02,WN,N7837A,1877,10821,13495,08:25:00,822.0,-3.0,10.0,832.0,943.0,3.0,10:15:00,946.0,-29.0,0.0,not cancelled,0.0,170.0,144.0,131.0,998.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,0,Baltimore, MD,New Orleans, LA,2018-05-02,2018-05-02 08:25:00,2018-05-02 10:15:00,5,2,2,28,12,0,0,505,615,8,10,2,Sunny
