,fl_date,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,dest_airport_id,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,share_code,origin_city,origin_state,dest_city,dest_state,arr_date,dep_datetime,arr_datetime,fl_month,fl_weekday,season,day_num_of_flights,num_flights_6hr,inbound_fl_num,inbound_fl,dep_min_of_day,arr_min_of_day,dep_hr,arr_hr,hr,weather
6698,2018-10-05,AA,N952AA,1012,13930,14683,20:20:00,2123.0,63.0,66.0,2229.0,50.0,3.0,23:06:00,53.0,107.0,0.0,not cancelled,0.0,166.0,210.0,141.0,1041.0,0.0,59.0,44.0,0.0,4.0,no first departure,0.0,0.0,0,Chicago, IL,San Antonio, TX,2018-10-05,2018-10-05 20:20:00,2018-10-05 23:06:00,10,4,4,4,3,0,0,1220,1386,20,23,6,Moderate or heavy rain shower
9513,2018-05-21,AA,N563UW,623,11057,13930,22:45:00,2249.0,4.0,35.0,2324.0,2400.0,7.0,23:50:00,7.0,17.0,0.0,not cancelled,0.0,125.0,138.0,96.0,599.0,4.0,0.0,13.0,0.0,0.0,no first departure,0.0,0.0,0,Charlotte, NC,Chicago, IL,2018-05-21,2018-05-21 22:45:00,2018-05-21 23:50:00,5,0,2,6,5,0,0,1365,1430,22,23,7,Light rain shower
2620,2019-06-21,WN,N934WN,2444,13232,14730,09:25:00,1102.0,97.0,9.0,1111.0,1257.0,5.0,11:40:00,1302.0,82.0,0.0,not cancelled,0.0,75.0,60.0,46.0,271.0,82.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,0,Chicago, IL,Louisville, KY,2019-06-21,2019-06-21 09:25:00,2019-06-21 11:40:00,6,4,3,29,9,0,0,565,700,9,11,3,Sunny
6872,2018-10-10,WN,N438WN,482,11278,10693,16:55:00,1717.0,22.0,27.0,1744.0,1808.0,5.0,17:45:00,1813.0,28.0,0.0,not cancelled,0.0,110.0,116.0,84.0,562.0,0.0,0.0,6.0,0.0,22.0,no first departure,0.0,0.0,0,Washington, DC,Nashville, TN,2018-10-10,2018-10-10 16:55:00,2018-10-10 17:45:00,10,2,4,12,5,0,0,1015,1065,16,17,5,Patchy rain possible
13719,2019-04-23,B6,N317JB,2380,11618,10721,13:07:00,1350.0,43.0,34.0,1424.0,1505.0,3.0,14:19:00,1508.0,49.0,0.0,not cancelled,0.0,72.0,78.0,41.0,200.0,0.0,0.0,49.0,0.0,0.0,no first departure,0.0,0.0,0,Newark, NJ,Boston, MA,2019-04-23,2019-04-23 13:07:00,2019-04-23 14:19:00,4,1,2,3,1,0,0,787,859,13,14,4,Sunny
11647,2018-04-28,B6,N329JB,455,10721,11278,10:43:00,1111.0,28.0,15.0,1126.0,1241.0,4.0,12:17:00,1245.0,28.0,0.0,not cancelled,0.0,94.0,94.0,75.0,399.0,11.0,0.0,0.0,0.0,17.0,no first departure,0.0,0.0,0,Boston, MA,Washington, DC,2018-04-28,2018-04-28 10:43:00,2018-04-28 12:17:00,4,5,2,4,4,0,0,643,737,10,12,3,Sunny
7810,2019-12-25,QX,N401QX,2356,14747,14252,17:50:00,2001.0,131.0,13.0,2014.0,2052.0,7.0,18:50:00,2059.0,129.0,0.0,not cancelled,0.0,60.0,58.0,38.0,172.0,35.0,0.0,0.0,0.0,94.0,no first departure,0.0,0.0,1,Seattle, WA,Pasco/Kennewick/Richland, WA,2019-12-25,2019-12-25 17:50:00,2019-12-25 18:50:00,12,2,1,8,2,0,0,1070,1130,17,18,5,Partly cloudy
14723,2019-07-07,OO,N788SK,5761,13930,10372,19:30:00,2001.0,31.0,28.0,2029.0,2151.0,2.0,21:19:00,2153.0,34.0,0.0,not cancelled,0.0,169.0,172.0,142.0,1013.0,0.0,0.0,3.0,0.0,31.0,no first departure,0.0,0.0,1,Chicago, IL,Aspen, CO,2019-07-07,2019-07-07 19:30:00,2019-07-07 21:19:00,7,6,3,9,3,0,0,1170,1279,19,21,6,Clear
1879,2018-11-05,AA,N983AN,346,11298,13495,18:35:00,1922.0,47.0,21.0,1943.0,2042.0,5.0,20:02:00,2047.0,45.0,0.0,not cancelled,0.0,87.0,85.0,59.0,447.0,33.0,0.0,0.0,0.0,12.0,no first departure,0.0,0.0,0,Dallas/Fort Worth, TX,New Orleans, LA,2018-11-05,2018-11-05 18:35:00,2018-11-05 20:02:00,11,0,4,7,5,0,0,1115,1202,18,20,6,Clear
13540,2019-04-15,ZW,N460AW,3943,12217,12264,08:50:00,1330.0,280.0,13.0,1343.0,1623.0,10.0,11:40:00,1633.0,293.0,0.0,not cancelled,0.0,110.0,123.0,100.0,596.0,280.0,0.0,13.0,0.0,0.0,no first departure,0.0,0.0,1,Huntsville, AL,Washington, DC,2019-04-15,2019-04-15 08:50:00,2019-04-15 11:40:00,4,0,2,2,2,0,0,530,700,8,11,2,Sunny
